area,area_code,proc_code,proc,comm_code,source_code,source,item_code,item,tcf
Maldives,132,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Maldives,132,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Mali,133,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Mali,133,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Mali,133,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Mali,133,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Mali,133,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Mali,133,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Mali,133,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Mali,133,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Mali,133,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Malta,134,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Malta,134,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Malta,134,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Malta,134,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Malta,134,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Malta,134,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Malta,134,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Malta,134,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Malta,134,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Martinique,135,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Martinique,135,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Martinique,135,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Martinique,135,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Martinique,135,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Martinique,135,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Martinique,135,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Martinique,135,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.066
Martinique,135,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Mauritania,136,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Mauritania,136,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Mauritania,136,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Mauritania,136,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Mauritania,136,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Mauritania,136,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Mauritania,136,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Mauritania,136,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Mauritania,136,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Mauritius,137,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Mauritius,137,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Mauritius,137,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Mauritius,137,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Mauritius,137,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Mauritius,137,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Mauritius,137,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Mauritius,137,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Mauritius,137,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.095
Mexico,138,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Mexico,138,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Mexico,138,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Mexico,138,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.073
Mexico,138,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Mexico,138,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Mexico,138,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Mexico,138,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Mexico,138,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.1
Midway Island,139,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Midway Island,139,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Midway Island,139,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Midway Island,139,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Midway Island,139,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Midway Island,139,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Midway Island,139,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Midway Island,139,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Midway Island,139,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Monaco,140,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Monaco,140,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Monaco,140,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Monaco,140,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Monaco,140,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Monaco,140,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Monaco,140,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Monaco,140,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Monaco,140,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Mongolia,141,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Mongolia,141,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.84
Mongolia,141,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Mongolia,141,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Mongolia,141,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Mongolia,141,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Mongolia,141,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Mongolia,141,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Mongolia,141,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Montserrat,142,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Montserrat,142,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Montserrat,142,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Montserrat,142,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Montserrat,142,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Montserrat,142,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Montserrat,142,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Montserrat,142,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Montserrat,142,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Morocco,143,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Morocco,143,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Morocco,143,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.13
Morocco,143,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.095
Morocco,143,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Morocco,143,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Morocco,143,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.74
Morocco,143,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Morocco,143,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Mozambique,144,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Mozambique,144,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Mozambique,144,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Mozambique,144,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Mozambique,144,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Mozambique,144,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Mozambique,144,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.099
Mozambique,144,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Mozambique,144,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Micronesia (Federated States of),145,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Micronesia (Federated States of),145,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Micronesia (Federated States of),145,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Micronesia (Federated States of),145,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Micronesia (Federated States of),145,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Micronesia (Federated States of),145,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Micronesia (Federated States of),145,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Micronesia (Federated States of),145,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Micronesia (Federated States of),145,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Republic of Moldova,146,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Republic of Moldova,146,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Republic of Moldova,146,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.12
Republic of Moldova,146,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Republic of Moldova,146,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Republic of Moldova,146,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Republic of Moldova,146,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.65
Republic of Moldova,146,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Republic of Moldova,146,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Namibia,147,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Namibia,147,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Namibia,147,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Namibia,147,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Namibia,147,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Namibia,147,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Namibia,147,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Namibia,147,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Namibia,147,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Nauru,148,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Nauru,148,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Nauru,148,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Nauru,148,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Nauru,148,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Nauru,148,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Nauru,148,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Nauru,148,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Nauru,148,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Nepal,149,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Nepal,149,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Nepal,149,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Nepal,149,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Nepal,149,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Nepal,149,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Nepal,149,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Nepal,149,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Nepal,149,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.1
Netherlands,150,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.16
Netherlands,150,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Netherlands,150,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Netherlands,150,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Netherlands,150,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Netherlands,150,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Netherlands,150,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Netherlands,150,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Netherlands,150,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Netherlands Antilles,151,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Netherlands Antilles,151,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Netherlands Antilles,151,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Netherlands Antilles,151,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Netherlands Antilles,151,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Netherlands Antilles,151,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Netherlands Antilles,151,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Netherlands Antilles,151,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Netherlands Antilles,151,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Neutral Zone,152,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Neutral Zone,152,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Neutral Zone,152,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Neutral Zone,152,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Neutral Zone,152,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Neutral Zone,152,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Neutral Zone,152,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Neutral Zone,152,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Neutral Zone,152,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
New Caledonia,153,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
New Caledonia,153,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
New Caledonia,153,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
New Caledonia,153,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
New Caledonia,153,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
New Caledonia,153,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
New Caledonia,153,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
New Caledonia,153,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
New Caledonia,153,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
The former Yugoslav Republic of Macedonia,154,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
The former Yugoslav Republic of Macedonia,154,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
The former Yugoslav Republic of Macedonia,154,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.63
The former Yugoslav Republic of Macedonia,154,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
The former Yugoslav Republic of Macedonia,154,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
The former Yugoslav Republic of Macedonia,154,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
The former Yugoslav Republic of Macedonia,154,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
The former Yugoslav Republic of Macedonia,154,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
The former Yugoslav Republic of Macedonia,154,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Vanuatu,155,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Vanuatu,155,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Vanuatu,155,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Vanuatu,155,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Vanuatu,155,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Vanuatu,155,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Vanuatu,155,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Vanuatu,155,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Vanuatu,155,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
New Zealand,156,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
New Zealand,156,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
New Zealand,156,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
New Zealand,156,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
New Zealand,156,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
New Zealand,156,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.75
New Zealand,156,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
New Zealand,156,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
New Zealand,156,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Nicaragua,157,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Nicaragua,157,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Nicaragua,157,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Nicaragua,157,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Nicaragua,157,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Nicaragua,157,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Nicaragua,157,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Nicaragua,157,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.098
Nicaragua,157,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.07
Niger,158,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Niger,158,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Niger,158,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Niger,158,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Niger,158,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Niger,158,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Niger,158,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.1
Niger,158,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Niger,158,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Nigeria,159,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Nigeria,159,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Nigeria,159,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.08
Nigeria,159,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.1
Nigeria,159,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Nigeria,159,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Nigeria,159,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Nigeria,159,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Nigeria,159,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Niue,160,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Niue,160,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Niue,160,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Niue,160,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Niue,160,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Niue,160,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Niue,160,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Niue,160,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Niue,160,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Norfolk Island,161,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Norfolk Island,161,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.11
Norfolk Island,161,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Norfolk Island,161,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Norfolk Island,161,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Norfolk Island,161,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
