area,area_code,proc_code,proc,comm_code,source_code,source,item_code,item,tcf
Australia,10,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Australia,10,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.16
Australia,10,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Australia,10,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Australia,10,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.85
Australia,10,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Australia,10,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Australia,10,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Australia,10,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Austria,11,p124,"Coffee production, decaffeinated or roasted",c131,1610,"Coffee, green",23911,"Coffee, decaffeinated or roasted",0.84
Austria,11,p078,Maize Germ Oil extraction,c004,2514,Maize and products,2582,Maize Germ Oil,0.45
Austria,11,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.77
Austria,11,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Austria,11,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.17
Austria,11,p065,Sugar production,c015,2536,Sugar cane,2542,Sugar (Raw Equivalent),0.11
Austria,11,p125,Coffee extract production,c132,1610,"Coffee, green",23912.02,Coffee extracts,0.38
Austria,11,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
Austria,11,p077,Ricebran Oil extraction,c001,2807,Rice and products,2581,Ricebran Oil,0.14
Bahamas,12,p080,Wine production,c043,2620,Grapes and products (excl wine),2655,Wine,0.7
Bahamas,12,p065,Sugar production,c016,2537,Sugar beet,2542,Sugar (Raw Equivalent),0.14
Bahamas,12,p064,"Sugar production, non-centrifugal",c015,2536,Sugar cane,2541,Sugar non-centrifugal,0.09
Bahamas,12,p128,Coffee substitute production,c135,1610,"Coffee, green",23912.01,Coffee substitutes,0.7
