iso3c,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051,c052,c053,c054,c055,c056,c057,c058,c059,c060,c061,c062,c063,c064,c065,c066,c067,c068,c069,c070,c071,c072,c073,c074,c075,c076,c077,c078,c079,c080,c081,c082,c083,c084,c085,c086,c087,c088,c089,c090,c091,c092,c093,c094,c095,c096,c097,c098,c099,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125
LTU,0,7.318062366,4.390837943,0,6.342318709,6.342321764,0,0,9.757433071,7.80593223,0,0,0,0,0,11.70889333,5.854447972,5.854450154,5.854450154,0,19.80432084,0,0,4.878707371,0,0,0,0,0,0,10.7331584,10.73315578,10.73315753,0,0,0,0,0,0,10.91861274,0,0,0,17.87651284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87870868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDG,0.016570276,0.697695379,0,0.148433739,0,0,0,0.063327982,0,0.230937203,0.02590056,0.017442386,0,0,0.662810922,0,0.164188682,0.039573896,0.076779226,0,0.137794964,0.067780127,0,0,0.401174842,0.080517772,0,0.104654374,0,0,0.764137327,0.280932987,0.332863826,0.313962661,0.313962766,0.313962482,0,0.254879394,0,0.313962403,0.257337258,0,0.313963132,0.313962818,0.122538553,0.469854986,0.145658824,0,0.622487311,0,0,0,0,1.133759535,0,0.784905714,0,0,0.169191133,0,0,0.036336297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWI,8.728412489,5.271384286,4.555078315,1.963892788,0,0,0.254605169,1.963893006,5.817679094,10.47409516,1.745682672,0.24547167,44.18491302,0.664496728,8.728413362,0,2.310673917,0.556934701,1.080535372,5.621286302,1.939227776,6.98273069,5.000799544,0,2.716342159,1.133149375,10.13732199,1.472830158,0,0,17.45683152,17.45682323,17.45682323,4.418486065,4.418486502,4.418487811,4.418492175,2.618524009,0.736414141,0,3.621578652,0,4.418489557,4.41848432,6.98273069,6.612399385,2.049898908,0,8.760440966,0,0,0,0,15.95571507,0,11.04619989,0,0,3.491365345,0,0,0.511370943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYS,15.09781372,0,0,16.04141107,0,0,0,0,0,38.28460291,8.387670943,1.677533141,75.48904023,0,24.53393731,0,6.538267225,0,6.721202986,9.603855329,17.02419026,3.774449698,0,0,24.32520647,1.572687614,0,17.9286446,0,0,16.98502543,16.98503023,16.98503896,9.711798308,9.506032509,14.82171437,17.70877761,11.64294274,0,0,29.81000352,0,0,15.36700235,13.83964086,19.08194382,15.09780543,0,18.45287398,0,0,0,0,27.26002156,0,18.87221402,0,0,15.09780717,6.039124179,0,0.233504526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MDV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLI,0.628364413,1.276256382,1.102831362,0.505756303,0,0,0.061642534,0.215776351,1.408519819,1.711121472,0.088250622,0.059431234,0,0.160881495,2.06090308,0,0,0.134839646,0.261608804,1.360971525,0.469506985,0.230946438,0,0,0.65765435,0.274347116,2.454350147,0.356587357,0,0,2.60363207,0.957219126,1.134162613,1.069761106,1.069761019,1.069761412,1.069762372,0.868447147,0.17829351,0,0.876821493,1.069763506,0,1.06976019,0.417524028,1.600930011,0.496301424,0,0,0,0,0,0,3.863046018,0,2.674398859,0,0,1.752980368,0.178293668,0,0.123808245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRT,0,0.013476289,0.011645054,0.005340401,0,0,0.000650898,0.002278434,0,0.018068129,0.000931859,0.000627548,0,0.001698785,0,0,0,0.001423803,0.002762388,0.014370813,0,0.002438616,0,0,0,0,0,0,0,0,76.37361692,104.7409603,0.011975881,0,0,0,0,0,0,0,0,0.011295886,0,0.011295851,0,0,0.005240565,0,0,0,0,0,0,0.04079077,0,0,0,0,0,0,0,0.001307319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEX,15.71113925,13.96546138,5.237048017,6.546311331,0,10.47410171,17.40312822,7.855576826,0,39.27786668,25.94621772,2.64686329,119.1089325,0,17.67505364,49.07060749,5.455262716,8.728408998,8.728402452,15.15326533,12.43798642,5.237047581,7.835829228,27.74194999,10.4741004,1.309261917,5.891679456,27.86746196,10.70272635,0,39.27783002,14.4018755,17.45680839,3.600467195,4.582415269,23.38615881,27.94145097,7.855572026,0,10.47409778,31.42227807,36.9237717,9.819460232,24.24655256,10.47409429,3.491365345,0,0,13.09261437,0,0,0,0,0,0,29.77716024,0,0,17.45683022,9.528719838,10.05809593,0.002188278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
