iso3c,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051,c052,c053,c054,c055,c056,c057,c058,c059,c060,c061,c062,c063,c064,c065,c066,c067,c068,c069,c070,c071,c072,c073,c074,c075,c076,c077,c078,c079,c080,c081,c082,c083,c084,c085,c086,c087,c088,c089,c090,c091,c092,c093,c094,c095,c096,c097,c098,c099,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125
VCT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAU,,96.000008,329.99994,102.9408,,,33.571163,56.384079,,190.00003,,,,,,,,,26.59547,,,16.479553,,,,,61.7103,,,,259.99997,260.00003,260.00003,,,,172.17078,,,,,98.545296,37.997837,44.840412,,,,,,,,,,,,,,,,,275.00003,5.7972012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEN,21.461208,24.672991,7.6536331,20.020664,,,2.5892179,3.0699854,2.7294567,27.54504,3.5372941,26.690096,,0.88707334,23.496187,,,10.882069,8.0246582,2.7554317,,8.0630617,,,21.821497,1.5156908,21.285772,17.693224,,,34.380909,26.568666,29.12595,37.645592,,,,54.344891,,,,30.822081,,7.5929303,,,30.301153,,,,,,,22.745335,,,,,,,,0.280707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SLE,0.77234155,,,0.43712273,,,0.049335975,0.10726362,0.20591807,,0.027805237,0.008509,,,0.76473588,,,0.025992027,0.087053053,,,0.086921275,,,0.35416609,0.12501538,1.5335981,0.10210799,,,0.6320219,,0.35996327,,,,0.61264831,0.70073283,0.068071976,,0.64948297,,,0.61264724,0.27362546,0.59056175,,,,,,,,,,0.05105387,,,0.42739648,0.085089952,,0.095833033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVN,,120.18065,131.37834,248.97502,86.215019,95.637932,81.195953,136.37184,,189.13104,,,,,,209.33292,113.90869,140.23894,64.324409,,43.378056,,80.487,160.40501,,,,,141.87979,,308.23447,267.22092,196.81784,196.22157,,,,,,115.22047,,,91.902473,108.45207,,,,211.99846,,,,,,,,,,,188.72342,,,14.021243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SVK,,56.668186,31.819885,63.70274,41.503288,26.654167,36.398422,61.132587,,63.034523,,,,,,42.319996,19.526592,19.526598,19.52659,,19.445452,,43.879147,72.537964,,,,,,,56.129692,56.129673,56.129673,,,,,,,21.679716,,,21.679716,21.679718,,,,95.03437,,,,,,,,,,,21.753963,,64.078339,5.3146615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,,,,,,,,,,,,,355.99936,,,,,,,,,,,,,14.692137,,,,,,,237.66853,,,,,,,,,,,130.96193,,,,,,,,,,,,,,,,,,16.931438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOM,0.10025931,0.073243909,,0.056743801,,,,0.013924106,,,0.003609455,,,,0.099271931,,0.014319769,,,,,,,,0.045975029,0.016228504,0.19907951,,,,,0.04116895,0.046727579,0.079529047,,0.079529062,,0.090963542,,,,0.079529211,,0.079528995,,,,,,,,,,,,,,,,,,0.012440268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZAF,67.798599,36.010132,25.087088,62.657623,15.964489,12.963652,78.982208,43.212132,56.415955,204.05724,24.511063,9.6027021,213.65979,,104.42941,,17.644978,19.496449,31.4035,0.79942316,3.4809835,6.2417536,15.364324,,15.484351,22.923809,71.535629,,,,203.45763,203.45752,203.45712,96.507164,96.507202,96.507156,96.507149,216.0607,,131.55707,216.06075,216.06085,60.016922,131.55695,118.03207,,161.4225,153.6432,112.99015,,,,58.224487,120.03319,,3.6010027,,,45.012672,,,0.43461367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
